setting_id,model,setting_name,target_logit_delta,target_strength_class,negative_logit_delta,negative_class,specificity_ratio,specificity_class,proj_drift_corr,corr_class,baseline_damage,damage_class,intervention_family_agree,freeform_stability,readable_rate,repetition_rate,distinct_1,wrong_follow_rate,drift_rate,predicted_regime,observed_regime,controllability_label,source_note,projection_source_path,target_logit_source_field,negative_logit_source_field,source_paths
qwen7b_mainline,Qwen 7B,"baseline_state_interpolation (24-26, beta=0.6)",-5.38706362247467,strong,-0.004970908164978027,near-zero,1083.7181946809276,very-high,-0.38985710354702835,aligned,0.0,clean,partial,N/A,,,,,,specific-but-not-controllable,clean-controllable,1,formal mainline,/Users/shiqi/code/graduation-project/outputs/experiments/qwen7b_projection_logit_diagnostic/Qwen_Qwen2.5-7B-Instruct/20260501_183852/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p75,mean_negative_logit_delta_vs_no_alpha_0p75,/Users/shiqi/code/graduation-project/outputs/experiments/whitebox_mechanistic_statistical_closure/20260426_175452/whitebox_effect_size_table.csv | /Users/shiqi/code/graduation-project/outputs/experiments/qwen7b_projection_logit_diagnostic/Qwen_Qwen2.5-7B-Instruct/20260501_183852/projection_alignment_summary.json | /Users/shiqi/code/graduation-project/docs/reports/intervention_family_comparison_20260506.md
qwen3b_mainline,Qwen 3B,"baseline_state_interpolation (31-35, beta=0.6)",-5.101888020833333,strong,-0.9303385416666666,supportive,5.4839048285514345,moderate,-0.5242501866302918,aligned,0.0,clean,N/A,N/A,,,,,,clean-or-secondary controllable,clean-controllable,1,formal replication,/Users/shiqi/code/graduation-project/outputs/experiments/qwen3b_projection_logit_diagnostic/Qwen_Qwen2.5-3B-Instruct/20260501_185401/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p75,mean_negative_logit_delta_vs_no_alpha_0p75,/Users/shiqi/code/graduation-project/outputs/experiments/whitebox_mechanistic_statistical_closure/20260426_175452/whitebox_effect_size_table.csv | /Users/shiqi/code/graduation-project/outputs/experiments/qwen3b_projection_logit_diagnostic/Qwen_Qwen2.5-3B-Instruct/20260501_185401/projection_alignment_summary.json
qwen14b_n100,Qwen 14B,matched_belief_subspace_damping n=100,-7.3271879386901855,strong,-1.4253924083709717,supportive,5.140470719262605,moderate,0.07765567838000972,unclear,0.01,clean,N/A,N/A,,,,,,clean-or-secondary controllable,secondary-controllable,1,secondary positive confirmation,/Users/shiqi/code/graduation-project/outputs/experiments/qwen14b_belief_causal_transfer_n100/Qwen_Qwen2.5-14B-Instruct/20260504_131013/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p75,mean_negative_logit_delta_vs_no_alpha_0p75,/Users/shiqi/code/graduation-project/outputs/experiments/qwen14b_belief_causal_transfer_n100/Qwen_Qwen2.5-14B-Instruct/20260504_131013/belief_causal_summary.csv | /Users/shiqi/code/graduation-project/outputs/experiments/qwen14b_belief_causal_transfer_n100/Qwen_Qwen2.5-14B-Instruct/20260504_131013/projection_alignment_summary.json
glm_n100,GLM-4-9B,pressure_subspace_damping n=100,-2.873322262763977,moderate,-0.0011136817932128906,near-zero,2580.0208643751394,very-high,-0.445878924217504,aligned,0.06,residual,N/A,N/A,,,,,,weak / tradeoff-limited,weak / tradeoff-limited,0,weak positive with residual damage tradeoff,/Users/shiqi/code/graduation-project/outputs/experiments/glm4_9b_belief_causal_transfer_n100/THUDM_glm-4-9b-chat-hf/20260504_125002/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p75,mean_negative_logit_delta_vs_no_alpha_0p75,/Users/shiqi/code/graduation-project/outputs/experiments/glm4_9b_belief_causal_transfer_n100/THUDM_glm-4-9b-chat-hf/20260504_125002/belief_causal_summary.csv | /Users/shiqi/code/graduation-project/outputs/experiments/glm4_9b_belief_causal_transfer_n100/THUDM_glm-4-9b-chat-hf/20260504_125002/projection_alignment_summary.json
llama_n100,Llama-3.1-8B,pressure_subspace_damping n=100,-1.8272933959960938,weak,0.17160951614379882,bad-positive,10.647972426336358,moderate,-0.2861244904094141,weak,0.08,residual,N/A,N/A,,,,,,locatable-but-not-controllable,locatable-but-not-controllable,0,limitation / boundary,/Users/shiqi/code/graduation-project/outputs/experiments/llama31_8b_belief_causal_transfer_n100/meta-llama_Llama-3.1-8B-Instruct/20260504_025609/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p5,mean_negative_logit_delta_vs_no_alpha_0p5,/Users/shiqi/code/graduation-project/outputs/experiments/llama31_8b_belief_causal_transfer_n100/meta-llama_Llama-3.1-8B-Instruct/20260504_025609/belief_causal_summary.csv | /Users/shiqi/code/graduation-project/outputs/experiments/llama31_8b_belief_causal_transfer_n100/meta-llama_Llama-3.1-8B-Instruct/20260504_025609/projection_alignment_summary.json
qwen7b_psd_n100,Qwen 7B,pressure_subspace_damping n=100,-5.899019165039062,strong,-0.0017413330078125,near-zero,3387.64563617245,very-high,-0.40860333918557284,aligned,0.04,residual,partial,N/A,,,,,,specific-but-not-controllable,weak / tradeoff-limited,0,less-oracle alternative,/Users/shiqi/code/graduation-project/outputs/experiments/pressure_subspace_damping_qwen7b_n100/Qwen_Qwen2.5-7B-Instruct/20260506_181314/projection_alignment_summary.json,mean_belief_logit_delta_vs_no_alpha_0p75,mean_negative_logit_delta_vs_no_alpha_0p75,/Users/shiqi/code/graduation-project/outputs/experiments/pressure_subspace_damping_qwen7b_n100/Qwen_Qwen2.5-7B-Instruct/20260506_181314/belief_causal_summary.csv | /Users/shiqi/code/graduation-project/outputs/experiments/pressure_subspace_damping_qwen7b_n100/Qwen_Qwen2.5-7B-Instruct/20260506_181314/projection_alignment_summary.json | /Users/shiqi/code/graduation-project/docs/reports/intervention_family_comparison_20260506.md
qwen7b_freeform_prefill,Qwen 7B,free-form prefill_only,,N/A,,N/A,,N/A,,N/A,,N/A,partial,stable,0.94,0.0,0.5538461538461539,0.16,0.1,front-loaded controllable-but-bounded,front-loaded controllable-but-bounded,1,free-form short-horizon diagnostic,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/qwen7b_freeform_diagnostic/20260503/prefill_only/Qwen2.5-7B-Instruct/20260503_172219/run_summary.json
qwen7b_subtraction,Qwen 7B,late_layer_residual_subtraction,,N/A,,N/A,,N/A,,N/A,0.046,residual,no,N/A,,,,,,weak / tradeoff-limited,method-boundary failure,0,subtraction boundary,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/local_probe_qwen7b_intervention_stability/Qwen_Qwen2.5-7B-Instruct/20260423_095800/intervention_summary.json | /Users/shiqi/code/graduation-project/docs/reports/intervention_family_comparison_20260506.md
qwen7b_random,Qwen 7B,random_direction_control,,N/A,,N/A,,N/A,,N/A,0.0127,clean,no,N/A,,,,,,weak / tradeoff-limited,null-like control,0,formal control,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/whitebox_formal_controls_qwen7b/20260427_121722/formal_controls_aggregate_metrics.csv
qwen7b_shuffled,Qwen 7B,shuffled_label_control,,N/A,,N/A,,N/A,,N/A,0.5848,high,no,N/A,,,,,,weak / tradeoff-limited,pairing-artifact damage,0,formal control,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/whitebox_formal_controls_qwen7b/20260427_121722/formal_controls_aggregate_metrics.csv
qwen7b_freeform_first_3_tokens,Qwen 7B,free-form first_3_tokens,,N/A,,N/A,,N/A,,N/A,,N/A,partial,brittle,0.42,0.58,0.43042071197411,0.16,0.1,quality-limited free-form boundary,quality-limited free-form boundary,0,free-form boundary,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/qwen7b_freeform_diagnostic/20260503/first_3_tokens/Qwen2.5-7B-Instruct/20260503_213547/run_summary.json
qwen7b_freeform_continuous,Qwen 7B,free-form continuous,,N/A,,N/A,,N/A,,N/A,,N/A,partial,unstable,0.0,1.0,0.0016,0.16,0.1,generation-unstable,generation-unstable,0,free-form boundary,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/qwen7b_freeform_diagnostic/20260503/continuous/Qwen2.5-7B-Instruct/20260504_001705/run_summary.json
identity_profile_followup,Qwen 7B,identity/profile follow-up,,N/A,,N/A,,N/A,,N/A,,N/A,N/A,N/A,,,,,,boundary / insufficient-transfer-evidence,boundary / insufficient-transfer-evidence,0,identity/profile boundary,,N/A,N/A,/Users/shiqi/code/graduation-project/outputs/experiments/identity_profile_whitebox_followup_qwen7b/Qwen_Qwen2.5-7B-Instruct/20260424_120058
