item_id,model,target_logit_improvement,off_target_instability_score,is_damage,damage_subtype,baseline_margin_change
nlp_survey_07025,Qwen 7B,-1.259556,0,false,none,-6.714354
nlp_survey_02064,Qwen 7B,-1.247519,2,false,none,-6.011755
nlp_survey_06271,Qwen 7B,2.92984,2,false,none,7.38748
nlp_survey_04397,Qwen 7B,-1.906693,0,false,none,-6.103703
nlp_survey_00144,Qwen 7B,2.875389,0,false,none,2.487583
nlp_survey_06880,Qwen 7B,0.626722,0,false,none,6.714354
nlp_survey_07055,Qwen 7B,-1.119186,0,false,none,-6.714354
nlp_survey_02970,Qwen 7B,0.296097,0,false,none,5.311106
nlp_survey_08513,Qwen 7B,-2.005957,0,false,none,-6.651859
nlp_survey_08032,Qwen 7B,4.358641,0,false,none,6.709005
nlp_survey_09982,Qwen 7B,5.087883,0,false,none,2.284382
nlp_survey_04269,Qwen 7B,-1.114449,0,false,none,-0.797388
nlp_survey_01766,Qwen 7B,4.441277,0,false,none,0.511213
nlp_survey_06210,Qwen 7B,-1.319021,2,false,none,-7.413414
nlp_survey_01694,Qwen 7B,-1.504068,0,false,none,-0.511213
nlp_survey_07046,Qwen 7B,-1.332775,0,false,none,-6.714354
nlp_survey_09696,Qwen 7B,-2.223167,0,false,none,-2.284382
nlp_survey_02036,Qwen 7B,-1.501055,2,false,none,-6.011755
nlp_survey_03169,Qwen 7B,-1.941868,0,false,none,-6.846209
nlp_survey_03787,Qwen 7B,-1.904188,0,false,none,-4.958628
nlp_survey_05321,Qwen 7B,3.851097,0,false,none,4.605366
nlp_survey_02638,Qwen 7B,-1.804285,0,false,none,-6.015654
nlp_survey_01200,Qwen 7B,-1.614065,0,false,none,-6.637995
nlp_survey_05665,Qwen 7B,2.466013,1,true,damage,0.844685
nlp_survey_04002,Qwen 7B,4.958897,0,false,none,4.958628
nlp_survey_02163,Qwen 7B,-1.430662,2,false,none,-6.011755
nlp_survey_02514,Qwen 7B,-2.072428,0,false,none,-6.015654
nlp_survey_08214,Qwen 7B,-2.124495,0,false,none,-4.405125
nlp_survey_07632,Qwen 7B,-1.982353,0,false,none,-5.834568
nlp_survey_09791,Qwen 7B,-2.003531,0,false,none,-2.284382
nlp_survey_08337,Qwen 7B,4.339439,0,false,none,4.405125
nlp_survey_09833,Qwen 7B,4.536585,0,false,none,2.284382
nlp_survey_09885,Qwen 7B,4.144728,0,false,none,2.284382
nlp_survey_06613,Qwen 7B,4.189363,0,false,none,7.03142
nlp_survey_01404,Qwen 7B,4.654306,2,false,none,7.111256
nlp_survey_04941,Qwen 7B,3.871141,0,false,none,6.443062
nlp_survey_03824,Qwen 7B,-1.941021,0,false,none,-4.958628
nlp_survey_01911,Qwen 7B,3.824354,2,false,none,6.011755
nlp_survey_05708,Qwen 7B,4.553589,1,true,damage,0.844685
nlp_survey_05724,Qwen 7B,4.595837,1,true,damage,0.844685
nlp_survey_01502,Qwen 7B,-1.403151,2,false,none,-7.111256
nlp_survey_00789,Qwen 7B,-1.712587,0,false,none,-7.143682
nlp_survey_02850,Qwen 7B,-1.844147,0,false,none,-5.311106
nlp_survey_06603,Qwen 7B,3.725277,0,false,none,7.03142
nlp_survey_03758,Qwen 7B,-2.065714,0,false,none,-4.958628
nlp_survey_01383,Qwen 7B,3.316353,2,false,none,7.111256
nlp_survey_03051,Qwen 7B,3.26441,0,false,none,5.311106
nlp_survey_04497,Qwen 7B,-1.944859,0,false,none,-6.103703
nlp_survey_07489,Qwen 7B,-1.983204,0,false,none,-5.834568
nlp_survey_08074,Qwen 7B,4.841633,0,false,none,6.709005
nlp_survey_05734,Qwen 7B,4.299181,1,true,damage,0.844685
nlp_survey_07674,Qwen 7B,5.154135,0,false,none,5.834568
nlp_survey_08448,Qwen 7B,-1.739332,0,false,none,-6.651859
nlp_survey_06939,Qwen 7B,3.516426,0,false,none,6.714354
nlp_survey_03804,Qwen 7B,-2.04175,0,false,none,-4.958628
nlp_survey_06000,Qwen 7B,2.548761,2,false,none,7.413414
nlp_survey_08092,Qwen 7B,3.761196,0,false,none,6.709005
nlp_survey_03786,Qwen 7B,-1.72134,0,false,none,-4.958628
nlp_survey_04084,Qwen 7B,4.167929,0,false,none,0.797388
nlp_survey_06281,Qwen 7B,4.020678,2,false,none,7.38748
nlp_survey_07268,Qwen 7B,-1.785973,0,false,none,-6.14727
nlp_survey_05194,Qwen 7B,-1.312563,2,false,none,-6.933598
nlp_survey_04533,Qwen 7B,4.65033,0,false,none,6.103703
nlp_survey_09306,Qwen 7B,-1.217449,2,false,none,-3.887289
nlp_survey_04217,Qwen 7B,-1.143408,0,false,none,-0.797388
nlp_survey_02496,Qwen 7B,4.337263,0,false,none,5.442024
nlp_survey_07832,Qwen 7B,-1.87261,0,false,none,-6.709005
nlp_survey_04577,Qwen 7B,4.616919,0,false,none,6.103703
nlp_survey_05184,Qwen 7B,-1.239006,2,false,none,-6.933598
nlp_survey_05565,Qwen 7B,-1.11002,0,false,none,-4.605366
nlp_survey_01896,Qwen 7B,3.714827,2,false,none,6.011755
nlp_survey_05589,Qwen 7B,-1.123602,0,false,none,-4.605366
nlp_survey_05331,Qwen 7B,4.083229,0,false,none,4.605366
nlp_survey_08907,Qwen 7B,-1.094374,2,false,none,-6.638142
nlp_survey_08348,Qwen 7B,4.820314,0,false,none,4.405125
nlp_survey_06551,Qwen 7B,-1.220596,2,false,none,-7.38748
nlp_survey_00964,Qwen 7B,4.144093,0,false,none,6.637995
nlp_survey_00811,Qwen 7B,-1.513836,0,false,none,-7.143682
nlp_survey_04915,Qwen 7B,5.665701,0,false,none,6.443062
nlp_survey_01787,Qwen 7B,3.720675,0,false,none,0.511213
nlp_survey_02398,Qwen 7B,5.240353,0,false,none,5.442024
nlp_survey_00729,Qwen 7B,4.772827,0,false,none,7.143682
nlp_survey_09341,Qwen 7B,-1.076569,2,false,none,-3.887289
nlp_survey_09741,Qwen 7B,-2.030262,0,false,none,-2.284382
nlp_survey_02250,Qwen 7B,-2.053137,0,false,none,-5.442024
nlp_survey_05022,Qwen 7B,-1.305639,2,false,none,6.933598
nlp_survey_01216,Qwen 7B,-1.43088,0,false,none,-6.637995
nlp_survey_00300,Qwen 7B,-1.204128,0,false,none,-2.487583
nlp_survey_00456,Qwen 7B,4.740341,0,false,none,2.319338
nlp_survey_01672,Qwen 7B,-1.943314,0,false,none,-0.511213
nlp_survey_01394,Qwen 7B,3.126356,2,false,none,7.111256
nlp_survey_02361,Qwen 7B,4.964161,0,false,none,5.442024
nlp_survey_08859,Qwen 7B,4.108757,2,false,none,6.638142
nlp_survey_06500,Qwen 7B,-1.242352,2,false,none,-7.38748
nlp_survey_07115,Qwen 7B,-1.293112,0,false,none,-6.714354
nlp_survey_07031,Qwen 7B,-1.252577,0,false,none,-6.714354
nlp_survey_06379,Qwen 7B,3.958334,2,false,none,7.38748
nlp_survey_00218,Qwen 7B,-1.265144,0,false,none,-2.487583
nlp_survey_07360,Qwen 7B,3.613537,0,false,none,6.14727
nlp_survey_00794,Qwen 7B,-1.518726,0,false,none,-7.143682
nlp_survey_08003,GLM-4-9B,3.36274,0,false,none,2.607801
nlp_survey_08165,GLM-4-9B,-0.707364,0,false,none,-3.288777
nlp_survey_04248,GLM-4-9B,-0.532516,1,true,damage,-0.407173
nlp_survey_08204,GLM-4-9B,-0.159968,0,false,none,-3.288777
nlp_survey_03287,GLM-4-9B,2.346525,0,false,none,2.697518
nlp_survey_01320,GLM-4-9B,1.762967,0,false,none,2.223275
nlp_survey_02739,GLM-4-9B,3.58401,0,false,none,2.219489
nlp_survey_09056,GLM-4-9B,-0.3152,0,false,none,-1.133888
nlp_survey_02570,GLM-4-9B,-0.491716,0,false,none,-2.219489
nlp_survey_00601,GLM-4-9B,2.158916,0,false,none,0.293486
nlp_survey_00750,GLM-4-9B,2.046577,0,false,none,2.820464
nlp_survey_08466,GLM-4-9B,-0.590982,0,false,none,-0.41264
nlp_survey_06276,GLM-4-9B,0.926986,0,false,none,2.062126
nlp_survey_09363,GLM-4-9B,0.137378,0,false,none,-4.242146
nlp_survey_01422,GLM-4-9B,-0.660973,0,false,none,-2.223275
nlp_survey_07083,GLM-4-9B,-0.566703,0,false,none,-1.818833
nlp_survey_07433,GLM-4-9B,1.828569,0,false,none,3.150254
nlp_survey_04892,GLM-4-9B,0.613669,0,false,none,2.515069
nlp_survey_03240,GLM-4-9B,0.029009,0,false,none,-2.697518
nlp_survey_06148,GLM-4-9B,-0.524505,0,false,none,-2.854718
nlp_survey_08244,GLM-4-9B,-0.657877,0,false,none,-3.288777
nlp_survey_03202,GLM-4-9B,-0.689103,0,false,none,-2.697518
nlp_survey_04662,GLM-4-9B,1.825274,0,false,none,1.339689
nlp_survey_09413,GLM-4-9B,-0.417248,0,false,none,-4.242146
nlp_survey_00709,GLM-4-9B,0.92024,0,false,none,2.820464
nlp_survey_01249,GLM-4-9B,0.534242,0,false,none,2.223275
nlp_survey_07400,GLM-4-9B,2.849535,0,false,none,3.150254
nlp_survey_04138,GLM-4-9B,1.561223,1,true,damage,0.407173
nlp_survey_01295,GLM-4-9B,2.556931,0,false,none,2.223275
nlp_survey_08136,GLM-4-9B,-0.487288,0,false,none,-3.288777
nlp_survey_07766,GLM-4-9B,3.525723,0,false,none,3.260824
nlp_survey_08130,GLM-4-9B,-0.270996,0,false,none,-3.288777
nlp_survey_00296,GLM-4-9B,1.342374,0,false,none,0.592678
nlp_survey_04795,GLM-4-9B,-0.653678,0,false,none,-2.515069
nlp_survey_04449,GLM-4-9B,-0.464197,0,false,none,-1.339689
nlp_survey_08680,GLM-4-9B,2.000585,0,false,none,0.41264
nlp_survey_09764,GLM-4-9B,2.505006,0,false,none,0.563903
nlp_survey_04873,GLM-4-9B,1.29869,0,false,none,2.515069
nlp_survey_00001,GLM-4-9B,-0.323928,0,false,none,-0.592678
nlp_survey_07047,GLM-4-9B,-0.533736,0,false,none,-1.818833
nlp_survey_00177,GLM-4-9B,0.538865,0,false,none,0.592678
nlp_survey_01038,GLM-4-9B,-0.915007,0,false,none,3.473858
nlp_survey_02654,GLM-4-9B,1.605322,0,false,none,2.219489
nlp_survey_05889,GLM-4-9B,-0.379139,0,false,none,-0.02296
nlp_survey_00615,GLM-4-9B,1.2204,0,false,none,0.293486
nlp_survey_00527,GLM-4-9B,0.764412,0,false,none,0.293486
nlp_survey_04894,GLM-4-9B,0.661748,0,false,none,2.515069
nlp_survey_04666,GLM-4-9B,0.288828,0,false,none,1.339689
nlp_survey_08112,GLM-4-9B,1.85154,0,false,none,2.607801
nlp_survey_06253,GLM-4-9B,0.507191,0,false,none,2.062126
nlp_survey_08158,GLM-4-9B,-0.568613,0,false,none,-3.288777
nlp_survey_09897,GLM-4-9B,-0.636803,0,false,none,-0.563903
nlp_survey_07090,GLM-4-9B,-0.491233,0,false,none,-1.818833
nlp_survey_09017,GLM-4-9B,2.418571,0,false,none,0.452133
